#,I / O,FOB,FOB_newpairs,Serial Number,Re-pairing status,OK,Notes
167,_Out,167_Out,N02_Out,D50000005AB41A21,re-paired with 007_in,x,Working 
168,_In,168_In,,320000005AB8D921,,x,Working 
168,_Out,168_Out,,910000005AA7CC21,,x,Working 
169,_In,169_In,,E30000005AB0FA21,,x,Working 
169,_Out,169_Out,,1B0000005AC40121,,x,Working 
170,_In,170_In,,750000005AC9B621,,x,Working
170,_Out,170_Out,,050000005AAD2C21,,x,Working
171,_In,171_In,,4C0000005AADB721,,x,Working 
171,_Out,171_Out,,C20000005AC69421,,x,Working 
172,_In,172_In,,F20000005AC41721,,x,Working 
172,_Out,172_Out,,950000005ABC8021,,x,Working 
173,_In,173_In,,6C0000005AA9FA21,,x,Working 
173,_Out,173_Out,,470000005AC5B821,,x,Working 
174,_In,174_In,,850000005ABD0121,,x,needs re-pairing
174,_Out,174_Out,,A20000005AB44921,,x,needs re-pairing
175,_In,175_In,,7B0000005AB7C521,,x,Working 
175,_Out,175_Out,,7C0000005ACD1B21,,x,Working 
176,_In,176_In,,8F0000005AB7A421,,x,Working
176,_Out,176_Out,,A60000005AAC2E21,,x,Working
177,_In,177_In,,E70000005ABD6921,,x,Working
177,_Out,177_Out,,EF0000005AB7DF21,,x,Working
178,_In,178_In,,510000005AA07521,,x,Working 
178,_Out,178_Out,,DF0000005ACB5621,,x,Working 
179,_In,179_In,,DE0000005AAD9821,,,Never returned to us 
179,_Out,179_Out,,6E0000005ACFA221,,,Never returned to us 
180,_In,180_In,,160000005AC3A121,,x,Working 
180,_Out,180_Out,,260000005AA8EE21,,x,Working 
181,_In,181_In,,270000005AC1A721,,x,Working 
181,_Out,181_Out,,480000005AA67221,,x,Working 
182,_In,182_In,,220000005AB95821,,x,Working at NIFA
182,_Out,182_Out,,190000005AB3C921,,x,Working at NIFA
183,_In,183_In,,3C0000005AB63E21,,x,Working 
183,_Out,183_Out,,120000005ABC9421,,x,Working 
184,_In,184_In,,9E0000005AC9B321,,x,Working 
184,_Out,184_Out,,080000005AA62021,,x,Working 
185,_In,185_In,,210000005ACC2721,,x,needs re-pairing
185,_Out,185_Out,,470000005AC4A121,,x,needs re-pairing
186,_In,186_In,,930000005ACD3821,,x,Working 
186,_Out,186_Out,,2A0000005ACFD621,,x,Working 
187,_In,187_In,,3C0000005ACE6221,,x,Working 
187,_Out,187_Out,,1A0000005AAB1E21,,x,Working 
188,_In,188_In,,410000005AA2DF21,,x,Working 
188,_Out,188_Out,,B10000005A9EB621,,x,Working 
189,_In,189_In,,C40000005AC1EE21,,x,Working 
189,_Out,189_Out,,740000005ABB9521,,x,Working 
190,_In,190_In,,0B0000005AC6AB21,,x,Working 
190,_Out,190_Out,,AF0000005ABE5C21,,x,Working 
191,_In,191_In,,1B0000005AAA8221,,x,Working 
191,_Out,191_Out,,B00000005AC12B21,,x,Working 
192,_In,192_In,,A50000005ACAF321,,x,Working 
192,_Out,192_Out,,EC0000005AAD3A21,,x,Working 
193,_In,193_In,,2B0000005AAF4E21,,x,Working 
193,_Out,193_Out,,F10000005AA92921,,x,Working 
194,_In,194_In,,910000005ACC3221,,x,Working 
194,_Out,194_Out,,770000005ABD5521,,x,Working 
195,_In,195_In,,110000005ACD8F21,,x,Working 
195,_Out,195_Out,,430000005AA0FE21,,x,Working 
196,_In,196_In,,650000005ABFEC21,,x,Working 
196,_Out,196_Out,,970000005AAF3121,,x,Working 
197,_In,197_In,,A90000005AB3DC21,,x,Working 
197,_Out,197_Out,,000000005AA8F221,,x,Working 
198,_In,198_In,,A80000005AA2C921,,x,Working 
198,_Out,198_Out,,820000005AB11D21,,x,Working 
199,_In,199_In,,9F0000005AC7A821,,,Never returned to us 
199,_Out,199_Out,,C90000005AB3A721,,,Never returned to us 
200,_In,200_In,,A10000005AC8E721,,x,Working 
200,_Out,200_Out,,050000005AB9C121,,x,Working 
201,_In,201_In,,700000005ACE5A21,,x,Working 
201,_Out,201_Out,,FD0000005AC6D921,,x,Working 
202,_In,202_In,,D10000005AA90021,,x,needs re-pairing
202,_Out,202_Out,,920000005AA01521,,x,needs re-pairing
203,_In,203_In,,0C0000005AA14921,,x,Working 
203,_Out,203_Out,,930000005ABF9E21,,x,Working 
204,_In,204_In,,780000005AB10521,,x,Working 
204,_Out,204_Out,,220000005AA32B21,,x,Working 
205,_In,205_In,,940000005ABC0521,,x,Working 
205,_Out,205_Out,,C20000005AB14F21,,x,Working 
206,_In,206_In,,7D0000005A9F3321,,x,Working 
206,_Out,206_Out,,B50000005AD01821,,x,Working 
207,_In,207_In,,FC0000005AC8C221,,x,Working 
207,_Out,207_Out,,E80000005A9D9E21,,x,Working 
208,_In,208_In,,A30000005AB5D521,,x,Working 
208,_Out,208_Out,,E30000005AC72121,,x,Working 
209,_In,209_In,,E10000005ACEE321,,x,Working 
209,_Out,209_Out,,FF0000005AAC2D21,,x,Working 
210,_In,210_In,,580000005AAA4621,,x,Working 
210,_Out,210_Out,,220000005A9D3721,,x,Working 
211,_In,211_In,,700000005ABBB321,,x,Working 
211,_Out,211_Out,,BA0000005ABE6721,,x,Working 
212,_In,212_In,,950000005AD12821,,x,Working 
212,_Out,212_Out,,170000005AA8DA21,,x,Working 
213,_In,213_In,,690000005AD10521,,x,Working 
213,_Out,213_Out,,150000005AD09521,,x,Working 
214,_In,214_In,,A90000005ACCCF21,,x,Working 
214,_Out,214_Out,,AB0000005AB3CF21,,x,Working 
215,_In,215_In,,8E0000005ABA9421,,x,Working 
