strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100050402,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050403,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050404,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050405,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050406,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050407,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050408,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050409,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010105,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010106,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010203,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010204,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010205,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010206,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010207,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010208,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010209,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010210,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010302,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010304,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010307,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010308,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010401,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010402,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010403,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010404,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010501,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010502,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010503,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010504,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010505,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010506,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010507,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010508,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010509,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010601,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010602,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010701,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010702,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010703,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010704,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010801,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010802,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010803,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010804,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010805,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010901,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010902,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010903,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010904,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010905,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010906,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010907,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011001,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011002,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011003,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011004,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011005,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011006,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011007,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
